address,total_transaction,total_received,total_sent,indegree,outdegree,total_address,unique_address,redundant_address,average_address_per_tx,address_variance,average_indegree,indegree_variance,average_outdegree,outdegree_variance,income_to_expense_ratio,total_income_expense,average_income_per_indegree,income_variance,average_expense_per_outdegree,expense_variance,total_time_interval,avg_time_interval,var_time_interval,avg_time_interval_in_out,var_time_interval_in_out,symmetry,interval_day,unique_day,day_ratio,max_daily_tx,min_daily_tx,avg_daily_tx,var_daily_tx,med_daily_tx,0->0,0->1,1->0,1->1
112AsBjZs7wqGvr1J39jsdj66S75xv8mrJ,100,69.41816417,70.7052198,50,50,1284,985,299,12.84,356.9144,2.97,6.6691,9.87,333.7731,1.018540618,140.123384,1.388363283,4.97434831,1.414104396,4.936906179,144170719,1456269.889,6.29E+13,30270.58,4231936801,0.095208099,1669,53,0.031755542,4,1,1.886792453,0.364542542,2,0.1,0.88,0.9,0.1
112ZvEKEJvDNmcaaCfUAG4uwt9pQuVV2Cx,2,0.00324,0.00324,1,1,107,106,1,53.5,2352.25,3.5,0.25,50,2401,1,0.00648,0.00324,0,0.00324,0,35353,35353,0,35353,0,0,1,1,1,2,2,2,0,2,0,0,1,0
112drDf32AcZEj8x3Ta3MfXxxcH68wBBUa,100,0.40359725,0.40359725,50,50,2926,2749,177,29.26,6103.6524,6.53,1510.7091,22.73,2892.2971,1,0.8071945,0.008071945,0.000147767,0.008071945,0.000147767,76156564,769258.2222,1.49E+12,184068.36,77338490514,0.100114374,882,82,0.092970522,2,1,1.219512195,0.171326591,1,0.12,0.86,0.88,0.12
113781PBVavptHh76y2chbjocXwLtN678Z,2,0.00048654,0.00048654,1,1,17,16,1,8.5,30.25,6.5,30.25,2,0,1,0.00097308,0.00048654,0,0.00048654,0,27421970,27421970,0,27421970,0,0,318,2,0.006289308,1,1,1,0,1,0,0,1,0
113Kg77P8X11oHaBKGHkukWbvv7RGVYs5n,8,0.00038983,0.00038983,4,4,7219,7074,145,902.375,1515127.234,137.375,49586.73438,765,1666644.75,1,0.00077966,9.75E-05,8.23E-09,9.75E-05,8.23E-09,69667133,9952447.571,4.65E+14,512038,28351845059,0.204284307,807,8,0.009913259,1,1,1,0,1,0.25,0.5,0.75,0.25
113p4RHuk9cngS2mUtUHr6q2cPqCaqKRAT,5,1.4218423,1.4218423,4,4,59,50,9,11.8,69.76,9.6,72.24,2.2,0.16,1,2.8436846,0.355460575,0.082168851,0.355460575,0.082168851,2954209,738552.25,1.01E+11,738552.25,1.01E+11,0,35,5,0.142857143,1,1,1,0,1,0.75,0,1,0
11413D6i87En3qXX8AqEGutrWf7VggUpaz,100,0.08755229,0.08755229,51,51,5407,4249,1158,54.07,8176.1851,29.04,7458.3984,25.03,845.2091,1,0.17510458,0.001716712,8.22E-07,0.001716712,8.22E-07,84481304,853346.5051,6.16E+12,55194.31373,12298526064,0.031984769,978,66,0.067484663,5,1,1.515151515,0.461891644,1,0.06122449,0.918367347,0.901960784,0.098039216
1148xBWnv4uWNCi3vWKoKnVZVB8NeHQPFz,100,0.28506205,0.28506205,50,50,1682,1497,185,16.82,1517.0876,1.75,3.8675,15.07,1493.8851,1,0.5701241,0.005701241,3.16E-05,0.005701241,3.16E-05,18984442,191762.0404,85844154063,110964.42,24816981870,0.346141022,220,67,0.304545455,6,1,1.492537313,0.87680998,1,0.28,0.7,0.72,0.28
114E86Zn9MrqcGTozvC6Xwz8v7FgLeswoH,2,0.02531,0.02531,1,1,14,12,2,7,16,1,0,6,16,1,0.05062,0.02531,0,0.02531,0,0,0,0,0,0,0,1,1,1,2,2,2,0,2,0,1,0,0
115GiEa4v3cQsd4fTdbktGSyPRdqoks96A,72,6.74519388,6.74359882,71,70,288,143,145,4,51.16666667,2,51.16666667,2,0,0.999763526,13.4887927,0.095002731,0.003975999,0.096337126,0.003906376,1912409,26935.33803,14097104323,241859.7143,1.06E+11,0.623677481,23,8,0.347826087,27,1,9,73.5,6,0.955882353,0.029411765,0.75,0.25
115HYQMn4ytJ3a4G4aDRkbKJXXBGf9PvZG,29,0.28417661,0.28417661,15,15,1204,919,285,41.51724138,3838.387634,35.17241379,3996.832342,6.344827586,77.7431629,1,0.56835322,0.018945107,0.000208183,0.018945107,0.000208183,161661852,5773637.571,3.23E+14,274171.6,51935789414,0.137383567,1872,27,0.014423077,2,1,1.074074074,0.068587106,1,0.071428571,0.857142857,0.866666667,0.133333333
116HEAVH1DVNe8qtDJbAb9GXq4cTvnbUwM,6,0.00790977,0.00790977,3,3,21,12,9,3.5,1.25,1.833333333,1.138888889,1.666666667,0.222222222,1,0.01581954,0.00263659,1.14E-05,0.00263659,1.14E-05,237903,47580.6,6848598032,77649,10283200341,25.42013449,3,3,1,3,1,2,0.666666667,2,0.333333333,0.333333333,0.666666667,0.333333333
11KRKFgbA9C1B5QgBbeLiqXNoy3F37Cww,2,0.29944106,0.29944106,1,1,6,5,1,3,0,1,0,2,0,1,0.59888212,0.29944106,0,0.29944106,0,9679,9679,0,9679,0,0,1,1,1,2,2,2,0,2,0,0,1,0
11y4AKBbmASVNeYZ361uh6B9RAAvv1JZ3,26,0.01343454,0.01343454,13,13,529,498,31,20.34615385,1377.380178,3.769230769,23.4852071,16.57692308,1423.244083,1,0.02686908,0.001033426,1.41E-06,0.001033426,1.41E-06,79703628,3188145.12,6.72E+13,171315.2308,1.34E+11,0.191143217,923,17,0.018418202,4,1,1.529411765,0.719723183,1,0.153846154,0.769230769,0.846153846,0.153846154
121KwyUSaSoCDShBGwJaSXsQFgeaRTwppS,100,0.01054323,0.0175492,54,57,104139,25974,78165,1041.39,937098.9779,89.53,21491.9691,951.86,1082783.1,1.664499399,0.02809243,0.000195245,1.09E-07,0.000307881,6.62E-07,81849234,826759.9394,1.06E+13,170590.3684,15098133049,0.940342028,948,87,0.091772152,2,1,1.149425287,0.127097371,1,0.195652174,0.782608696,0.685185185,0.314814815
1225aKQznJy9Z9RQ9qRyPPsbYFrLw28DYX,45,0.01387286,0.01387286,23,23,9893,5629,4264,219.8444444,16184.04247,92.73333333,23358.72889,127.1111111,15151.07654,1,0.02774572,0.000603168,5.12E-07,0.000603168,5.12E-07,223813151,5086662.523,1.03E+14,450760.087,1.44E+11,0.009185097,2591,41,0.015824006,2,1,1.097560976,0.088042832,1,0,0.954545455,0.956521739,0.043478261
123d91wn2Hn27QcZpu55U18pdSTSWyaYgv,85,0.21723408,0.21723408,43,43,9991,2994,6997,117.5411765,9955.071834,41.02352941,7508.870035,76.51764706,8311.708512,1,0.43446816,0.005051955,6.83E-05,0.005051955,6.83E-05,171768455,2044862.56,2.56E+13,276546.8605,92721878118,0.017014506,1989,74,0.037204625,2,1,1.148648649,0.126552228,1,0.071428571,0.904761905,0.906976744,0.093023256
123jRYKAQvidmTyWXmXjUCMbfG7d9fTPnt,4,0.00012469,0.00012469,2,2,661,628,33,165.25,19465.6875,7.25,25.1875,158,20334.5,1,0.00024938,6.23E-05,1.09E-10,6.23E-05,1.09E-10,523000,174333.3333,38274273307,36898.5,746409720.3,0,7,3,0.428571429,2,1,1.333333333,0.222222222,1,0,0.5,1,0
124kx5fRaNt5HrqNcTyGAuChwVCHy3Xh2n,16,0.55933081,0.55933081,8,8,561,390,171,35.0625,2081.808594,31,2152.75,4.0625,72.43359375,1,1.11866162,0.069916351,0.003529267,0.069916351,0.003529267,195018453,13001230.2,6.98E+14,153181.125,33628346403,0,2258,14,0.006200177,2,1,1.142857143,0.12244898,1,0,0.875,1,0
125c4zySQDdvwgHH6fQNcVHeguiCbRHCgX,24,0.00114804,0.00114804,12,12,4405,3897,508,183.5416667,30420.0816,100.5833333,29309.57639,82.95833333,13019.37326,1,0.00229608,9.57E-05,7.46E-09,9.57E-05,7.46E-09,42054684,1828464.522,4.27E+12,2019749.333,4.55E+12,0.345862835,487,21,0.04312115,2,1,1.142857143,0.12244898,1,0.25,0.666666667,0.75,0.25
126EEDd8beWw7QTPVpQfVJNcghw5nFcbCb,2,1.02E-05,1.02E-05,1,1,3305,3169,136,1652.5,1818452.25,116.5,13340.25,1536,2143296,1,2.03E-05,1.02E-05,0,1.02E-05,0,53563,53563,0,53563,0,0,1,1,1,2,2,2,0,2,0,0,1,0
126FSYJZL6urrgc9uKWNe7Ty3jzzxNRfyp,2,5.90526325,5.90526325,1,1,6,5,1,3,0,1,0,2,0,1,11.8105265,5.90526325,0,5.90526325,0,0,0,0,0,0,0,1,1,1,2,2,2,0,2,0,1,0,0
126sV65qrXDSVus6TuRtcSUkoBKVwQhskp,3,0.11905089,0.11905089,3,3,119,97,22,39.66666667,1350.222222,23.66666667,856.8888889,16,104,1,0.23810178,0.03968363,7.87E-06,0.03968363,7.87E-06,44785,22392.5,501424056.3,44785,0,0.048303303,1,1,1,3,3,3,0,3,0,1,0.5,0
127LNHgxCC2MQciVnKPfrbxqkxWR9JL3FT,100,0.32223035,0.32223035,50,50,1499,1307,192,14.99,301.3499,4.78,56.8716,10.21,234.3059,1,0.6444607,0.006444607,3.66E-05,0.006444607,3.66E-05,54806603,553602.0505,7.62E+11,84757.38,11989255462,0.014499387,635,74,0.116535433,2,1,1.351351351,0.227903579,1,0.04,0.94,0.96,0.04
127aUV2uMdvhxjnPCnaMrUKEhvvwuCNTrT,2,0.00322,0.00322,1,1,90,88,2,45,1444,3.5,6.25,41.5,1640.25,1,0.00644,0.00322,0,0.00322,0,3591,3591,0,3591,0,0,1,1,1,2,2,2,0,2,0,0,1,0
127zScHbFBGCEYFrrDaTdmSr8XtkAjxhjg,84,2.29772002,2.29772002,43,43,2462,1542,920,29.30952381,2233.356576,25.61904762,2270.950113,3.69047619,29.97562358,1,4.59544004,0.053435349,0.005686278,0.053435349,0.005686278,93836718,1130562.867,1.17E+13,101503.2093,1.03E+11,0.048160092,1087,57,0.052437902,2,1,1.473684211,0.249307479,1,0.024390244,0.951219512,0.930232558,0.069767442
12873HiuKog1Vw5rFcNncSzqyTc8ckSnqi,2,0.1408416,0.1408416,1,1,209,206,3,104.5,9506.25,6,25,98.5,8556.25,1,0.2816832,0.1408416,0,0.1408416,0,6591155,6591155,0,6591155,0,0,77,2,0.025974026,1,1,1,0,1,0,0,1,0
128fdEwPyzHEi8kU1gF7tJhXRWnK13iod7,82,1.55778667,1.55778667,46,46,2654,2404,250,32.36585366,1136.207615,2.06097561,3.83774539,30.30487805,1094.065586,1,3.11557334,0.033864928,0.000926239,0.033864928,0.000926239,64414520,795240.9877,6.70E+12,640167.2222,9.70E+12,0.160751054,746,45,0.060321716,4,1,1.822222222,0.457283951,2,0.189189189,0.783783784,0.644444444,0.355555556
128iCFUAD8NdpMMbGaPNbXjV9HpZvZJvxJ,100,0.99445693,1.02102941,49,51,4598,4448,150,45.98,5563.6796,2.69,47.3339,43.29,5314.8659,1.026720594,2.01548634,0.020295039,0.000465476,0.020020185,0.000449804,51391423,519105.2828,2.95E+12,302029.4,1.50E+11,0.435933831,595,72,0.121008403,4,1,1.388888889,0.515432099,1,0.411764706,0.568627451,0.591836735,0.408163265
12AAvPU1QBtxyQGSwKrWq39uxmeuS3r6TG,30,0.85753047,0.85753047,15,15,344,300,44,11.46666667,52.24888889,4.4,13.90666667,7.066666667,24.59555556,1,1.71506094,0.057168698,0.00126646,0.057168698,0.00126646,37258963,1284791.828,3.78E+12,11368.2,102289250.4,0,432,18,0.041666667,2,1,1.666666667,0.222222222,2,0,0.933333333,1,0
12CEGPkTGF5GAa59FPZRm4jv8Kzt5KSTjZ,100,4.08074525,4.14318264,100,100,465,255,210,4.65,30.2875,2.37,21.9731,2.28,10.8616,1.015300487,8.22392789,0.040807452,0.011119365,0.041431826,0.011088114,950368,9599.676768,2242532085,5301.050505,163990927,0.694158439,11,8,0.727272727,34,1,12.5,101.25,12.5,0.875,0.113636364,0.833333333,0.166666667
12CYAGiTeHHaemtQ7qLmRJuwwojbhdXtiR,48,0.0398,0.0398,24,24,679,510,169,14.14583333,164.4162326,11.5,142.5833333,2.645833333,29.81206597,1,0.0796,0.001658333,1.03E-06,0.001658333,1.03E-06,96799922,2059572.809,2.61E+13,144290.3333,9636323056,0,1121,46,0.04103479,2,1,1.043478261,0.041587902,1,0,0.958333333,1,0
